user_id,item_id,rating,shipment_count,total_spend,transit_days_actual
U0001,CARRI0283,5.0,37,193636.9,8.74
U0001,CARRI0169,5.0,23,388226.65,20.69
U0001,CARRI1161,5.0,36,455671.01,11.01
U0001,CARRI0700,5.0,27,422587.63,11.52
U0001,CARRI0644,5.0,19,229297.65,15.97
U0001,CARRI0037,5.0,49,266487.7,6.62
U0001,CARRI0488,5.0,23,103115.95,1.69
U0001,CARRI1010,5.0,7,165864.08,1.26
U0001,CARRI0303,5.0,44,406741.55,3.63
U0001,CARRI0125,5.0,25,399466.86,12.97
U0002,CARRI1007,5.0,28,598131.79,17.01
U0002,CARRI1180,5.0,27,219855.55,1.38
U0002,CARRI0295,5.0,19,217778.93,0.5
U0002,CARRI0600,5.0,17,153916.82,1.55
U0002,CARRI1147,5.0,27,53917.55,3.28
U0002,CARRI0992,5.0,28,395959.43,17.88
U0002,CARRI0669,5.0,5,471407.13,4.78
U0002,CARRI0027,5.0,31,217926.92,6.52
U0002,CARRI0289,5.0,34,177638.48,4.58
U0002,CARRI0095,5.0,7,182301.72,6.21
U0003,CARRI1004,5.0,35,336801.86,9.76
U0003,CARRI0913,5.0,19,94700.4,7.46
U0003,CARRI1062,5.0,14,332949.31,7.58
U0003,CARRI0208,5.0,40,125649.32,2.54
U0003,CARRI0160,5.0,25,342108.94,19.55
U0003,CARRI0133,5.0,27,199526.18,8.81
U0003,CARRI0479,5.0,27,67982.59,9.76
U0003,CARRI0349,5.0,18,150986.98,7.49
U0003,CARRI1199,5.0,13,121151.17,4.56
U0003,CARRI0848,5.0,36,159591.68,14.11
U0004,CARRI0297,5.0,10,512292.78,8.1
U0004,CARRI0814,5.0,17,310690.03,1.27
U0004,CARRI0473,5.0,24,56517.99,2.23
U0004,CARRI0197,5.0,12,413496.11,5.33
U0004,CARRI0881,5.0,29,85695.61,7.39
U0004,CARRI0997,5.0,18,153603.7,18.23
U0004,CARRI0480,5.0,15,433269.06,3.75
U0004,CARRI0932,5.0,20,190215.21,4.73
U0004,CARRI0401,5.0,27,281550.65,8.8
U0004,CARRI0946,5.0,29,89532.06,6.94
U0005,CARRI0822,5.0,50,54028.27,9.31
U0005,CARRI1168,5.0,18,248042.54,0.5
U0005,CARRI0195,5.0,21,125261.99,22.07
U0005,CARRI0220,5.0,34,468994.9,0.87
U0005,CARRI0226,5.0,44,444855.22,0.5
