user_id,item_id,rating
U01,S001,2
U01,S002,2
U01,S003,2
U01,S004,5
U01,S005,5
U01,S006,3
U01,S007,2
U01,S008,2
U01,S009,3
U01,S010,2
U01,S011,2
U01,S012,3
U02,S001,5
U02,S002,5
U02,S003,4
U02,S004,2
U02,S005,2
U02,S006,3
U02,S007,3
U02,S008,5
U02,S009,3
U02,S010,3
U02,S011,4
U02,S012,2
U03,S001,3
U03,S002,3
U03,S003,3
U03,S004,3
U03,S005,2
U03,S006,4
U03,S007,4
U03,S008,3
U03,S009,3
U03,S010,2
U03,S011,3
U03,S012,4
U04,S001,5
U04,S002,3
U04,S003,4
U04,S004,5
U04,S005,1
U04,S006,3
U04,S007,5
U04,S008,5
U04,S009,4
U04,S010,3
U04,S011,4
U04,S012,2
U05,S001,4
U05,S002,4
U05,S003,3
U05,S004,2
U05,S005,2
U05,S006,2
U05,S007,3
U05,S008,4
U05,S009,3
U05,S010,5
U05,S011,3
U05,S012,2
U06,S001,4
U06,S002,4
U06,S003,3
U06,S004,4
U06,S005,3
U06,S006,3
U06,S007,4
U06,S008,4
U06,S009,4
U06,S010,3
U06,S011,4
U06,S012,3
